,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Time,Fidelity
0,10.0,10.0,10.0,-10.0,-2.5496000000000003,6.6939,0.9944159785606251
1,-10.0,-10.0,-10.0,7.0364,8.6224,11.055000000000001,0.9856836217364338
2,-10.0,-10.0,-10.0,3.3078000000000003,2.454,6.651300000000001,0.9886036971232528
3,-10.0,-10.0,-10.0,10.0,10.0,6.629700000000001,0.9937281639503204
4,-10.0,-10.0,-10.0,10.0,3.9756,11.0973,0.9918413425746401
5,10.0,10.0,10.0,-10.0,-10.0,2.2224000000000004,0.9966708845151048
6,-9.2372,-9.3358,-9.2592,0.6074,-8.904,19.994100000000003,0.9849517658211362
7,10.0,10.0,10.0,-10.0,-10.0,2.1477000000000004,0.9911266172569537
8,-10.0,-10.0,-9.9772,5.724600000000001,3.2146000000000003,11.175600000000001,0.9889191629864695
9,-10.0,-10.0,-10.0,10.0,8.0728,11.058000000000002,0.9891697978519173
10,-10.0,-10.0,-10.0,10.0,10.0,6.614700000000001,0.9923853238034328
11,10.0,10.0,10.0,-10.0,-10.0,2.1138000000000003,0.9849794818295846
12,-10.0,-10.0,-10.0,7.9426000000000005,-3.942,6.6084000000000005,0.9902497369619983
13,10.0,6.856800000000001,10.0,-6.7046,-5.1692,5.9118,0.9860978489488206
14,10.0,10.0,10.0,-3.2956000000000003,-10.0,2.1420000000000003,0.9859346031534797
15,-7.5388,-7.0494,-7.5376,7.9472000000000005,-2.8558000000000003,24.073200000000003,0.9936034622083608
16,10.0,10.0,10.0,-10.0,10.0,2.2680000000000002,0.9914180997775252
17,-5.526400000000001,-9.318200000000001,-5.4556000000000004,9.581000000000001,8.957600000000001,6.6282000000000005,0.99509290271568
18,-10.0,-10.0,-10.0,10.0,-9.081000000000001,11.127300000000002,0.9868044318889853
19,10.0,10.0,10.0,-10.0,-5.6306,6.763800000000001,0.985884031206572
20,10.0,10.0,10.0,-7.5968,1.5198,2.3067,0.9886420180035589
21,-10.0,-10.0,-10.0,10.0,-4.2518,2.1861,0.995207872612766
22,-10.0,-10.0,-10.0,5.119000000000001,6.264200000000001,6.7620000000000005,0.9830354205275068
23,10.0,10.0,10.0,-10.0,6.498200000000001,2.3319,0.9845142818609537
24,10.0,10.0,10.0,-10.0,-1.2446000000000002,2.2692,0.9944622682419381
25,10.0,10.0,10.0,-2.0332,-3.6188000000000002,6.679200000000001,0.9865762147679996
26,-10.0,-10.0,-10.0,10.0,10.0,6.6324000000000005,0.9939226454086577
27,10.0,10.0,10.0,-10.0,-10.0,6.729000000000001,0.9913570404542148
28,-10.0,-10.0,-10.0,10.0,9.746,11.0898,0.9915862953890433
29,-9.7058,-7.432,-9.6502,9.477,-0.2114,13.805700000000002,0.9938162898580719
30,-10.0,-10.0,-10.0,0.9788,5.7632,6.704400000000001,0.9831173541163828
31,-10.0,-10.0,-10.0,4.986000000000001,6.148000000000001,11.0622,0.9831417138363094
32,10.0,10.0,10.0,-8.0714,0.4848,6.7392,0.9889633148338837
33,10.0,10.0,10.0,-0.9056000000000001,3.7166,2.277,0.9855438072548652
34,-10.0,-10.0,-10.0,3.1716,2.7628,6.6012,0.9839717914898267
35,10.0,10.0,10.0,-10.0,-6.563400000000001,6.603600000000001,0.9911149420860933
36,10.0,10.0,10.0,-10.0,3.3984,11.092500000000001,0.9915773950792756
37,-10.0,-10.0,-10.0,10.0,2.1906000000000003,6.572100000000001,0.9861341699640656
38,10.0,10.0,10.0,-10.0,10.0,2.1372,0.9868108597953474
39,10.0,10.0,10.0,-4.7676,7.7702,6.732,0.9858046751135994
40,10.0,10.0,10.0,-10.0,9.184800000000001,2.2887000000000004,0.9892039673794149
41,10.0,10.0,10.0,-10.0,-2.1604,6.6378,0.9942523078344556
42,10.0,10.0,10.0,-6.4634,-10.0,6.6141000000000005,0.9898708726240409
43,-10.0,-10.0,-10.0,10.0,-0.5882000000000001,15.571200000000001,0.9872018310568306
44,10.0,10.0,10.0,-6.1808000000000005,0.2756,6.739800000000001,0.9875412895494258
45,10.0,10.0,10.0,-5.1366000000000005,5.9694,6.600600000000001,0.9861596162004482
46,10.0,10.0,10.0,-10.0,-10.0,2.2854,0.9927169663769199
47,10.0,10.0,10.0,-7.063000000000001,-10.0,11.157900000000001,0.9872072899730254
48,-10.0,-10.0,-10.0,10.0,-3.444,11.162400000000002,0.9894576550166464
49,10.0,10.0,10.0,-10.0,-4.5040000000000004,11.166300000000001,0.9891349104776908
50,10.0,10.0,10.0,-10.0,-10.0,6.6066,0.9914756938646956
51,10.0,10.0,10.0,0.8764000000000001,-3.9932000000000003,2.2482,0.9834001074482814
52,-9.613800000000001,-8.350200000000001,-9.5606,6.2504,4.2148,10.161000000000001,0.990074492384049
53,-10.0,-10.0,-10.0,-0.5468000000000001,10.0,2.2305,0.985238696390126
54,10.0,10.0,10.0,-10.0,-10.0,6.685200000000001,0.9948178367337732
55,-10.0,-10.0,-10.0,5.1172,4.143,6.7410000000000005,0.9864035997014872
56,10.0,10.0,10.0,-0.8286,1.459,6.69,0.9828989776154069
57,10.0,10.0,10.0,-10.0,5.6968000000000005,11.077200000000001,0.9905980553045572
58,-10.0,-10.0,-10.0,5.9126,2.3662,11.1546,0.9859051723722543
59,-10.0,-10.0,-10.0,4.0676000000000005,-6.345000000000001,6.666,0.9893139971996762
60,-10.0,-10.0,-10.0,6.539000000000001,10.0,2.1414000000000004,0.988570191865887
61,9.907200000000001,9.957,9.8892,-2.7838000000000003,-5.1458,2.2548000000000004,0.9917955733296903
62,10.0,10.0,10.0,-10.0,0.9252,2.3304,0.9850815619504941
63,10.0,10.0,10.0,-10.0,-10.0,6.663900000000001,0.9951234187375476
64,-10.0,-10.0,-10.0,10.0,-0.45640000000000003,2.2755,0.993828935653987
65,-10.0,-10.0,-10.0,10.0,10.0,6.626100000000001,0.9934464204885447
66,10.0,10.0,10.0,-6.0084,-6.2514,6.6054,0.9883873520764876
67,10.0,10.0,10.0,-10.0,-10.0,2.1807000000000003,0.9949420703709959
68,-7.496,-8.2438,-7.4154,1.9976,7.515000000000001,8.656500000000001,0.9865763418150226
69,9.703000000000001,-8.187000000000001,9.647,-7.639,-8.8984,29.520300000000002,0.9912780925424528
70,-10.0,-10.0,-10.0,10.0,10.0,6.5742,0.9865510984005498
71,10.0,10.0,10.0,-10.0,-10.0,2.2449000000000003,0.9961643459968664
72,6.986800000000001,-7.5324,6.9068000000000005,-5.5298,-0.8302,22.8243,0.9833947518376277
73,-10.0,-10.0,-10.0,-0.6916,10.0,2.2419000000000002,0.9845127061914838
74,10.0,10.0,10.0,-3.3892,-2.2842000000000002,6.738900000000001,0.9845431727094841
75,10.0,10.0,10.0,-3.1678,1.0138,2.1357000000000004,0.9845574309201823
76,10.0,10.0,10.0,-6.533600000000001,-6.4042,2.3190000000000004,0.9859727475601967
77,10.0,10.0,10.0,-10.0,-10.0,11.1789,0.9876538394398737
78,-10.0,-10.0,-10.0,5.0232,-10.0,2.1969000000000003,0.9884063191910627
79,9.899000000000001,-4.75,9.836,-7.4074,4.445,21.9327,0.9861284590209695
80,10.0,10.0,10.0,-5.599600000000001,-1.8150000000000002,6.7041,0.9907285769208704
81,9.9604,-6.2694,9.9038,-9.7118,-8.2676,24.705000000000002,0.9852874568200226
82,10.0,10.0,10.0,-10.0,-10.0,11.185500000000001,0.986739318533626
