,Bias_1,Bias_2,Bias_3,Bias_4,Bias_5,Bias_6,Bias_7,Time,Fidelity
0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,2.7321000000000004,0.9636307605855161
1,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,2.9517,0.9504018418243733
2,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,2.5983,0.925199600253356
3,-10.0,-10.0,-9.9884,-10.0,2.5952,-10.0,-3.6258000000000004,22.3716,0.8938629317406859
4,-10.0,-10.0,-10.0,-10.0,0.9018,8.4556,10.0,2.6751,0.9441311128442516
5,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,2.5887000000000002,0.9214094134246182
6,10.0,10.0,10.0,10.0,-10.0,7.758800000000001,1.4496,2.6910000000000003,0.954582706782849
7,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,28.157100000000003,0.9681204707541246
8,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,28.318800000000003,0.9284301516967552
9,-10.0,-10.0,-10.0,-10.0,2.4456,10.0,-2.7736,2.5374000000000003,0.895127069577906
10,-10.0,-10.0,-10.0,-10.0,1.7172,-4.958200000000001,7.0434,3.0000000000000004,0.9296083576022061
11,-10.0,-10.0,-10.0,-10.0,8.492600000000001,-10.0,10.0,2.7546000000000004,0.9625100697321133
12,10.0,10.0,10.0,10.0,-7.5544,-3.3866,10.0,22.421100000000003,0.9163941394683919
13,-10.0,-10.0,-10.0,-10.0,10.0,-1.5172,10.0,2.8152000000000004,0.9695370481982438
14,10.0,10.0,10.0,10.0,-10.0,-10.0,-7.2808,2.5956,0.9260813536009553
15,-10.0,-10.0,-10.0,-10.0,10.0,-2.164,3.7328,2.8323000000000005,0.9691014554168456
16,10.0,10.0,10.0,9.9358,-0.1268,4.304600000000001,2.6928,3.0378000000000003,0.9159937784490448
17,-10.0,-10.0,-10.0,-10.0,9.5832,-10.0,4.9252,22.5969,0.9191290045333417
18,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,22.624200000000002,0.9092170045462581
19,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,2.7201000000000004,0.9616850416742797
